time (s),voltage (V),,,,,,,
7.88E-08,0.016884419,,,,,,,
8.00E-08,0.017286429,,,,,,,
8.13E-08,0.018090449,,,,,,,
8.25E-08,0.018492459,,,,,,,
8.38E-08,0.019698489,,,,,,,
8.50E-08,0.020100499,,,,,,,
8.63E-08,0.020502509,,,,,,,
8.75E-08,0.020502509,,,,,,,
8.88E-08,0.020502509,,,,,,,
9.00E-08,0.021306529,,,,,,,
9.13E-08,0.022110549,,,,,,,
9.25E-08,0.021708539,,,,,,,
9.38E-08,0.020904519,,,,,,,
9.50E-08,0.020904519,,,,,,,
9.63E-08,0.021306529,,,,,,,
9.75E-08,0.020502509,,,,,,,
9.88E-08,0.019296479,,,,,,,
1.00E-07,0.018894469,,,,,,,
1.01E-07,0.018090449,,,,,,,
1.03E-07,0.017688439,,,,,,,
1.04E-07,0.017688439,,,,,,,
1.05E-07,0.017688439,,,,,,,
1.06E-07,0.016884419,,,,,,,
1.08E-07,0.017286429,,,,,,,
1.09E-07,0.017286429,,,,,,,
1.10E-07,0.017286429,,,,,,,
1.11E-07,0.017286429,,,,,,,
1.13E-07,0.017688439,,,,,,,
1.14E-07,0.017286429,,,,,,,
1.15E-07,0.017688439,,,,,,,
1.16E-07,0.017286429,,,,,,,
1.18E-07,0.016884419,,,,,,,
1.19E-07,0.016482409,,,,,,,
1.20E-07,0.016482409,,,,,,,
1.21E-07,0.016482409,,,,,,,
1.23E-07,0.01567839,,,,,,,
1.24E-07,0.01527638,,,,,,,
1.25E-07,0.01487437,,,,,,,
1.26E-07,0.01366834,,,,,,,
1.28E-07,0.01366834,,,,,,,
1.29E-07,0.01286432,,,,,,,
1.30E-07,0.0120603,,,,,,,
1.31E-07,0.01165829,,,,,,,
1.33E-07,0.01125628,,,,,,,
1.34E-07,0.01085427,,,,,,,
1.35E-07,0.00964824,,,,,,,
1.36E-07,0.00924623,,,,,,,
1.38E-07,0.00884422,,,,,,,
1.39E-07,0.00723618,,,,,,,
1.40E-07,0.00442211,,,,,,,
1.41E-07,0.00120603,,,,,,,
1.42E-07,0,,,,,,,
1.44E-07,-0.00080402,,,,,,,
1.45E-07,-0.00160804,,,,,,,
1.46E-07,-0.00201005,,,,,,,
1.48E-07,-0.00241206,,,,,,,
1.49E-07,-0.00281407,,,,,,,
1.50E-07,-0.00201005,,,,,,,
1.51E-07,-0.00241206,,,,,,,
1.53E-07,-0.00321608,,,,,,,
1.54E-07,-0.00281407,,,,,,,
1.55E-07,-0.00281407,,,,,,,
1.56E-07,-0.00281407,,,,,,,
1.58E-07,-0.00321608,,,,,,,
1.59E-07,-0.00321608,,,,,,,
1.60E-07,-0.00321608,,,,,,,
1.61E-07,-0.00361809,,,,,,,
1.63E-07,-0.00321608,,,,,,,
1.64E-07,-0.00321608,,,,,,,
1.65E-07,-0.0040201,,,,,,,
1.66E-07,-0.0040201,,,,,,,
1.68E-07,-0.00361809,,,,,,,
1.69E-07,-0.00361809,,,,,,,
1.70E-07,-0.00361809,,,,,,,
1.71E-07,-0.00361809,,,,,,,
1.73E-07,-0.0040201,,,,,,,
1.74E-07,-0.00361809,,,,,,,
1.75E-07,-0.00361809,,,,,,,
1.76E-07,-0.0040201,,,,,,,
1.78E-07,-0.00442211,,,,,,,
1.79E-07,-0.0040201,,,,,,,
1.80E-07,-0.00361809,,,,,,,
1.81E-07,-0.00361809,,,,,,,
1.83E-07,-0.0040201,,,,,,,
1.84E-07,-0.0040201,,,,,,,
1.85E-07,-0.0040201,,,,,,,
1.86E-07,-0.0040201,,,,,,,
1.88E-07,-0.00361809,,,,,,,
1.89E-07,-0.0040201,,,,,,,
1.90E-07,-0.0040201,,,,,,,
1.91E-07,-0.0040201,,,,,,,
1.93E-07,-0.00361809,,,,,,,
1.94E-07,-0.00321608,,,,,,,
1.95E-07,-0.0040201,,,,,,,
1.96E-07,-0.0040201,,,,,,,
1.98E-07,-0.0040201,,,,,,,
1.99E-07,-0.00361809,,,,,,,
2.00E-07,-0.0040201,,,,,,,
2.01E-07,-0.0040201,,,,,,,
2.03E-07,-0.0040201,,,,,,,
2.04E-07,-0.00442211,,,,,,,
2.05E-07,-0.0040201,,,,,,,
2.06E-07,-0.0040201,,,,,,,
2.08E-07,-0.0040201,,,,,,,
2.09E-07,-0.0040201,,,,,,,
2.10E-07,-0.0040201,,,,,,,
2.11E-07,-0.0040201,,,,,,,
2.13E-07,-0.00442211,,,,,,,
2.14E-07,-0.00442211,,,,,,,
2.15E-07,-0.00442211,,,,,,,
2.16E-07,-0.00482412,,,,,,,
2.18E-07,-0.00442211,,,,,,,
2.19E-07,-0.0040201,,,,,,,
2.20E-07,-0.00442211,,,,,,,
2.21E-07,-0.00482412,,,,,,,
2.23E-07,-0.00442211,,,,,,,
2.24E-07,-0.0040201,,,,,,,
2.25E-07,-0.00482412,,,,,,,
2.26E-07,-0.00522613,,,,,,,
2.28E-07,-0.00482412,,,,,,,
2.29E-07,-0.00442211,,,,,,,
2.30E-07,-0.00482412,,,,,,,
2.31E-07,-0.00482412,,,,,,,
2.33E-07,-0.00442211,,,,,,,
2.34E-07,-0.00482412,,,,,,,
2.35E-07,-0.00482412,,,,,,,
2.36E-07,-0.00482412,,,,,,,
2.38E-07,-0.00522613,,,,,,,
2.39E-07,-0.00522613,,,,,,,
2.40E-07,-0.00482412,,,,,,,
2.41E-07,-0.00482412,,,,,,,
2.43E-07,-0.00522613,,,,,,,
2.44E-07,-0.00522613,,,,,,,
2.45E-07,-0.00562814,,,,,,,
2.46E-07,-0.00562814,,,,,,,
2.48E-07,-0.00603015,,,,,,,
2.49E-07,-0.00603015,,,,,,,
2.50E-07,-0.00562814,,,,,,,
2.51E-07,-0.00562814,,,,,,,
2.53E-07,-0.00603015,,,,,,,
2.54E-07,-0.00562814,,,,,,,
2.55E-07,-0.00562814,,,,,,,
2.56E-07,-0.00643216,,,,,,,
2.57E-07,-0.00683417,,,,,,,
2.59E-07,-0.00683417,,,,,,,
2.60E-07,-0.00683417,,,,,,,
2.61E-07,-0.00683417,,,,,,,
2.63E-07,-0.00683417,,,,,,,
2.64E-07,-0.00723618,,,,,,,
2.65E-07,-0.00723618,,,,,,,
2.66E-07,-0.00723618,,,,,,,
2.68E-07,-0.0080402,,,,,,,
2.69E-07,-0.00844221,,,,,,,
2.70E-07,-0.0080402,,,,,,,
2.71E-07,-0.0080402,,,,,,,
2.73E-07,-0.00844221,,,,,,,
2.74E-07,-0.00844221,,,,,,,
2.75E-07,-0.00844221,,,,,,,
2.76E-07,-0.00884422,,,,,,,
2.78E-07,-0.00964824,,,,,,,
2.79E-07,-0.01005025,,,,,,,
2.80E-07,-0.01045226,,,,,,,
2.81E-07,-0.01045226,,,,,,,
2.83E-07,-0.01085427,,,,,,,
2.84E-07,-0.01085427,,,,,,,
2.85E-07,-0.0120603,,,,,,,
2.86E-07,-0.01286432,,,,,,,
2.88E-07,-0.01286432,,,,,,,
2.89E-07,-0.01286432,,,,,,,
2.90E-07,-0.01407035,,,,,,,
2.91E-07,-0.01447236,,,,,,,
2.93E-07,-0.01447236,,,,,,,
2.94E-07,-0.01527638,,,,,,,
2.95E-07,-0.01567839,,,,,,,
2.96E-07,-0.0160804,,,,,,,
2.98E-07,-0.016884419,,,,,,,
2.99E-07,-0.017286429,,,,,,,
3.00E-07,-0.016884419,,,,,,,
3.01E-07,-0.017286429,,,,,,,
3.02E-07,-0.017688439,,,,,,,
3.04E-07,-0.017688439,,,,,,,
3.05E-07,-0.018492459,,,,,,,
3.06E-07,-0.018492459,,,,,,,
3.08E-07,-0.018894469,,,,,,,
3.09E-07,-0.019296479,,,,,,,
3.10E-07,-0.020100499,,,,,,,
